Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
1,Profile 1 – dartboard delivery,2055,2584889864.0,2500000000.0,364098855.79988265,57631.0
1,Profile 1 – dartboard delivery,2056,2516289326.0,2500000000.0,347809529.79988265,57631.0
1,Profile 1 – dartboard delivery,2057,2470631264.0,2500000000.0,377178265.79988265,57631.0
1,Profile 1 – dartboard delivery,2058,2510931632.0,2500000000.0,366246633.79988265,57631.0
1,Profile 1 – dartboard delivery,2059,2172960776.5499997,2500000000.0,693285857.2498829,57631.0
1,Profile 1 – dartboard delivery,2060,2134475374.1499999,2500000000.0,1058810483.0998831,57631.0
1,Profile 1 – dartboard delivery,2061,2276978525.0,2500000000.0,1281831958.099883,57631.0
1,Profile 1 – dartboard delivery,2062,1576785771.3999999,2500000000.0,2205046186.6998835,57631.0
1,Profile 1 – dartboard delivery,2063,1170745219.6,392412000.0,1426712967.0998836,57631.0
1,Profile 1 – dartboard delivery,2064,707556008.8999999,392412000.0,1111568958.1998837,57631.0
1,Profile 1 – dartboard delivery,2065,376856323.84999996,392412000.0,1127124634.3498838,57631.0
1,Profile 1 – dartboard delivery,2066,162999060.0,392412000.0,1356537574.3498838,57631.0
1,Profile 1 – dartboard delivery,2067,28267260.0,392412000.0,1720682314.3498838,57631.0
1,Profile 1 – dartboard delivery,2068,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2069,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2070,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2071,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2072,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2073,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2074,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2075,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2076,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2077,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2078,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2079,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2080,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2081,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2082,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2083,0.0,0.0,,57631.0
1,Profile 1 – dartboard delivery,2084,0.0,0.0,,57631.0
2,Profile 2 – 1.01% toward 'Mathematical Best',2025,250844733.09898993,2500000000.0,2249155266.90101,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2026,1321520631.0200727,2500000000.0,3427634635.880937,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2027,2455189843.723636,2500000000.0,3472444792.157301,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2028,2906124485.3434544,2500000000.0,3066320306.8138466,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2029,3254453250.6288886,2500000000.0,2311867056.184958,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2030,2882835641.2147655,2500000000.0,1929031414.9701922,59511.45716368808
